quantity,unit_price,temperature,timestamp_hour,avgqty_pid_hour,avgqty_pid_dow,avgqty_cat_tsh,timestamp_day_of_week,timestamp_day_of_month,estimated_stock_pct
3.0,11.19,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.89
3.0,1.49,-0.028849840255591022,9,3.0,4.0,5.0,1,1,0.14
0.0,14.19,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.67
0.0,20.19,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.82
0.0,8.19,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.05
0.0,15.99,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.1
0.0,11.19,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.83
0.0,16.19,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.67
3.0,3.99,-0.028849840255591022,9,4.0,4.0,5.0,1,1,0.35
0.0,4.99,-0.028849840255591022,9,0.0,1.0,1.0,1,1,0.9199999999999999
0.0,13.19,-0.028849840255591022,9,1.0,2.0,1.0,1,1,0.35
0.0,19.99,-0.028849840255591022,9,1.0,2.0,1.0,1,1,0.17333333333333334
0.0,20.49,-0.028849840255591022,9,0.0,2.0,1.0,1,1,0.335
1.0,8.19,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.48
6.0,1.49,-0.028849840255591022,9,5.0,3.0,5.0,1,1,0.67
0.0,16.99,-0.028849840255591022,9,0.0,1.0,1.0,1,1,0.92
0.0,8.49,-0.028849840255591022,9,3.0,0.0,1.0,1,1,0.345
0.0,18.19,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.76
0.0,16.49,-0.028849840255591022,9,2.0,2.0,1.0,1,1,0.735
0.0,16.19,-0.028849840255591022,9,0.0,1.0,2.0,1,1,0.17
3.0,8.19,-0.028849840255591022,9,2.0,3.0,3.0,1,1,0.88
3.0,18.49,-0.028849840255591022,9,3.0,2.0,2.0,1,1,0.5
0.0,3.49,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.71
0.0,8.19,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.84
0.0,3.19,-0.028849840255591022,9,0.0,1.0,1.0,1,1,0.64
0.0,3.49,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.65
0.0,7.99,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.44
0.0,4.99,-0.028849840255591022,9,2.0,1.0,1.0,1,1,0.76
2.0,6.19,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.36333333333333334
2.0,5.49,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.65
0.0,5.49,-0.028849840255591022,9,0.0,2.0,1.0,1,1,0.28
0.0,16.19,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.74
0.0,1.99,-0.028849840255591022,9,2.0,2.0,1.0,1,1,0.22
0.0,17.19,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.77
0.0,5.19,-0.028849840255591022,9,0.0,1.0,1.0,1,1,0.88
2.0,6.19,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.5
0.0,8.99,-0.028849840255591022,9,2.0,3.0,1.0,1,1,0.45
4.0,7.49,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.635
1.0,15.49,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.63
0.0,3.99,-0.028849840255591022,9,1.0,1.0,2.0,1,1,0.335
6.0,11.99,-0.028849840255591022,9,2.0,2.0,2.0,1,1,1.0
3.0,6.49,-0.028849840255591022,9,5.0,3.0,2.0,1,1,0.09
3.0,3.49,-0.028849840255591022,9,1.0,2.0,1.0,1,1,0.64
0.0,7.19,-0.028849840255591022,9,3.0,2.0,2.0,1,1,0.24
0.0,3.99,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.73
0.0,5.49,-0.028849840255591022,9,0.0,1.0,1.0,1,1,0.47
0.0,8.49,-0.028849840255591022,9,1.0,1.0,2.0,1,1,0.195
0.0,6.49,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.8
0.0,9.49,-0.028849840255591022,9,1.0,2.0,3.0,1,1,0.38
0.0,11.19,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.12
0.0,10.99,-0.028849840255591022,9,1.0,1.0,2.0,1,1,0.83
0.0,10.49,-0.028849840255591022,9,0.0,2.0,2.0,1,1,0.42
0.0,9.99,-0.028849840255591022,9,0.0,1.0,1.0,1,1,0.71
0.0,4.19,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.1
0.0,8.49,-0.028849840255591022,9,0.0,2.0,1.0,1,1,0.17
0.0,10.19,-0.028849840255591022,9,3.0,2.0,2.0,1,1,0.45
1.0,8.99,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.04
0.0,3.99,-0.028849840255591022,9,0.0,1.0,1.0,1,1,0.5366666666666667
0.0,6.99,-0.028849840255591022,9,1.0,1.0,2.0,1,1,0.5
3.0,8.19,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.19
3.0,0.49,-0.028849840255591022,9,3.0,4.0,5.0,1,1,0.23
0.0,7.49,-0.028849840255591022,9,1.0,2.0,1.0,1,1,0.17
0.0,7.19,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.54
2.0,16.19,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.5800000000000001
0.0,9.49,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.44
2.0,12.49,-0.028849840255591022,9,2.0,2.0,1.0,1,1,0.5499999999999999
4.0,7.19,-0.028849840255591022,9,2.0,2.0,3.0,1,1,0.48000000000000004
0.0,4.99,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.97
4.0,14.19,-0.028849840255591022,9,3.0,1.0,1.0,1,1,0.5675
0.0,5.49,-0.028849840255591022,9,0.0,0.0,1.0,1,1,0.05
0.0,6.99,-0.028849840255591022,9,2.0,1.0,1.0,1,1,0.66
0.0,4.99,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.595
0.0,1.19,-0.028849840255591022,9,0.0,0.0,1.0,1,1,0.86
2.0,7.19,-0.028849840255591022,9,3.0,1.0,1.0,1,1,0.6066666666666667
6.0,0.19,-0.028849840255591022,9,5.0,4.0,5.0,1,1,0.62
0.0,7.19,-0.028849840255591022,9,1.0,2.0,2.0,1,1,0.76
0.0,11.49,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.47
1.0,4.49,-0.028849840255591022,9,5.0,4.0,5.0,1,1,0.605
0.0,5.99,-0.028849840255591022,9,2.0,3.0,2.0,1,1,0.3233333333333333
0.0,4.49,-0.028849840255591022,9,0.0,0.0,1.0,1,1,0.51
0.0,0.19,-0.028849840255591022,9,0.0,0.0,1.0,1,1,0.43
0.0,12.99,-0.028849840255591022,9,1.0,2.0,1.0,1,1,0.42
0.0,2.49,-0.028849840255591022,9,0.0,0.0,1.0,1,1,0.37
2.0,8.19,-0.028849840255591022,9,1.0,2.0,1.0,1,1,0.78
0.0,14.49,-0.028849840255591022,9,1.0,2.0,1.0,1,1,0.37666666666666665
0.0,10.19,-0.028849840255591022,9,2.0,1.0,1.0,1,1,0.22
0.0,2.19,-0.028849840255591022,9,1.0,0.0,1.0,1,1,0.75
0.0,12.99,-0.028849840255591022,9,1.0,1.0,1.0,1,1,0.19
0.0,4.49,-0.028849840255591022,9,2.0,1.0,1.0,1,1,0.92
0.0,10.19,-0.028849840255591022,9,2.0,2.0,2.0,1,1,0.15
0.0,15.19,-0.028849840255591022,9,2.0,1.0,2.0,1,1,0.41
0.0,6.49,-0.028849840255591022,9,1.0,2.0,3.0,1,1,0.52
0.0,19.99,-0.028849840255591022,9,1.0,1.0,2.0,1,1,0.47
4.0,1.49,-0.028849840255591022,9,3.0,3.0,5.0,1,1,0.99
0.0,5.49,-0.028849840255591022,9,2.0,3.0,2.0,1,1,0.86
